name,platform,year_of_release,genre,sales
The Legend of Zelda: Spirit Tracks,DS,2009,Action,1.4
Max Payne,PS2,2001,Shooter,1.99
Assassin's Creed IV: Black Flag,X360,2013,Action,1.9
The Lord of the Rings: The Return of the King,PS2,2003,Action,1.5
Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,0.09
Gears of War: Ultimate Edition,XOne,2015,Shooter,2.61
True Crime: Streets of LA,PS2,2003,Action,1.89
Professor Layton and the Unwound Future,DS,2008,Puzzle,0.6
Gran Turismo (PSP),PSP,2009,Racing,0.5
FIFA 16,XOne,2015,Sports,0.89
Wii Music,Wii,2008,Misc,1.35
Tekken,PS,1995,Fighting,0.95
Madden NFL 16,PS4,2015,Sports,2.34
Gran Turismo 6,PS3,2013,Racing,0.72
Halo: The Master Chief Collection,XOne,2014,Shooter,1.91
007: Tomorrow Never Dies,PS,1999,Shooter,1.72
Super Mario Maker,WiiU,2015,Platform,1.18
WWF SmackDown! 2: Know Your Role,PS,2000,Fighting,1.76
Baseball,NES,1983,Sports,0.73
Killer Instinct,SNES,1995,Fighting,2.26
Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,0
God of War: Chains of Olympus,PSP,2008,Action,1.48
Enter the Matrix,PS2,2003,Action,1.78
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,1.35
Dance Central,X360,2010,Misc,2.15
L.A. Noire,PS3,2011,Adventure,1.27
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,2.06
Animal Crossing,GC,2001,Simulation,1.92
FIFA Soccer 08,PS2,2007,Sports,0.68
Club Penguin: Elite Penguin Force,DS,2008,Adventure,1.87
Spider-Man,PS,2000,Action,1.7
Mario Party 9,Wii,2012,Misc,1.06
Need for Speed III: Hot Pursuit,PS,1998,Racing,2.14
Star Wars Episode I Racer,N64,1999,Racing,2.31
Sonic Rush,DS,2005,Platform,1.21
Dragon Warrior IV,NES,1990,Role-Playing,0.08
Rhythm Heaven,DS,2008,Misc,0.55
Fallout: New Vegas,PS3,2010,Role-Playing,1.52
Personal Trainer: Cooking,DS,2006,Misc,0.9
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,1.69
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,1.4
Resident Evil 6,PS3,2012,Shooter,0.88
Mass Effect 2,X360,2010,Role-Playing,1.99
Dragon Ball Z: Budokai,PS2,2002,Fighting,2.17
Madden NFL 2002,PS2,2001,Sports,2.5
World Class Track Meet,NES,1986,Sports,1.92
Donkey Kong,GB,1994,Platform,1.57
The Sims: Vacation,PC,2002,Simulation,1.72
LEGO Batman: The Videogame,Wii,,Action,1.8
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,0.51
The Sims 4,PC,2014,Simulation,1
Borderlands 2,X360,2012,Shooter,1.89
LEGO Batman: The Videogame,DS,2008,Action,1.75
Kung Fu Panda,X360,2008,Action,1.91
Mass Effect 3,X360,2012,Role-Playing,1.94
Heavy Rain,PS3,2010,Adventure,1.29
Rayman,PS,1995,Platform,1.54
Saints Row 2,X360,2008,Action,1.94
Tom Clancy's Splinter Cell,XB,2002,Action,1.85
Mike Tyson's Punch-Out!!,NES,1987,Fighting,2.03
WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,1.45
FIFA 14,PS4,2013,Sports,0.61
Killzone 2,PS3,2009,Shooter,1.4
Far Cry 3,X360,2012,Shooter,1.38
Epic Mickey,Wii,2010,Platform,2.04
NBA 2K13,X360,2012,Sports,2.6
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,1.15
wwe Smackdown vs. Raw 2006,PS2,,Fighting,1.57
Star Fox,SNES,1993,Shooter,1.61
The Sims: Livin Large,PC,2000,Misc,1.67
World Soccer Winning Eleven 6 International,PS2,2002,Sports,0.12
Devil May Cry,PS2,2001,Action,1.36
Star Wars: The Old Republic,PC,2011,Role-Playing,1.58
Middle-Earth: Shadow of Mordor,PS4,2014,Action,1.01
Sonic Heroes,PS2,2003,Platform,1.04
Hitman 2: Silent Assassin,PS2,2002,Action,1.36
Titanfall,XOne,2014,Shooter,1.84
Battlefield: Bad Company 2,PS3,2010,Shooter,1.33
Wave Race 64,N64,1996,Racing,1.98
SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,2.22
WWE SmackDown! vs. RAW 2006,PS2,2005,Fighting,1.45
Pac-Man Collection,GBA,2001,Puzzle,2.07
Street Fighter IV,X360,2009,Fighting,1.82
inFAMOUS,PS3,2009,Action,1.76
Kirby Super Star Ultra,DS,2008,Platform,1.55
Call of Duty: Ghosts,XOne,2013,Shooter,1.88
FIFA 15,X360,2014,Sports,0.79
Super Mario World 2: Yoshi's Island,GBA,2002,Platform,1.75
Mass Effect,X360,2007,Role-Playing,1.83
Sonic Mega Collection Plus,PS2,2004,Misc,1.54
World Soccer Winning Eleven 7 International,PS2,2003,Sports,0.08
Sega Superstars Tennis,X360,2008,Sports,1.75
Hot Shots Golf 3,PS2,2001,Sports,0.99
Cooking Mama: Cook Off,Wii,2007,Simulation,1.41
Call of Duty: Finest Hour,PS2,2004,Shooter,1.51
WarioWare: Smooth Moves,Wii,2006,Puzzle,0.86
Syphon Filter,PS,1999,Shooter,2.03
Imagine: Babyz,DS,2007,Simulation,1.3
Colin McRae Rally,PS,1998,Racing,0.09
Madden NFL 13,X360,2012,Sports,2.53
The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,2.09
Assassin's Creed IV: Black Flag,PS4,2013,Action,1.07
Command & Conquer: Red Alert,PC,1996,Strategy,1.37
F-Zero,SNES,1990,Racing,1.37
Yoshi's Story,N64,1997,Platform,1.29
